,method,input_name,gamma,inc,idef,total_time,max_mem,timestamp,n_vars,n_worlds,n_params,n_edges,also_idef,optimizer,graph_id
141,opt_dist,5--torch(adam)--gamma1e-04,0.000100000000001,,7.807501344111454,127.22403025627136,-1,2022-10-01 01:40:20.950755,10,1024,388,35,,adam,5
142,opt_dist,5--torch(adam)--gamma2e+00,2.000000000000001,,-2.266705831051743,80.3076069355011,-1,2022-10-01 01:40:21.437475,10,1024,388,35,,adam,5
143,opt_dist,4--torch(adam)--gamma1e-04,0.000100000000001,,7.964886646495713,243.19613695144653,-1,2022-10-01 01:40:22.865644,10,1024,398,37,,adam,4
144,opt_dist,4--torch(asgd)--gamma1e-04,0.000100000000001,4.164573432617845,6.999999999999998,234.05777287483215,-1,2022-10-01 01:40:26.327776,10,1024,398,37,,asgd,4
145,opt_dist,5--torch(asgd)--gamma1e+00,1.000000000000001,2.6031213376302316,5.999999999999998,95.91019606590271,-1,2022-10-01 01:40:29.529410,10,1024,388,35,,asgd,5
146,opt_dist,5--torch(lbfgs)--gamma2e+00,2.000000000000001,,-2.2654941745615895,89.92027711868286,-1,2022-10-01 01:40:40.895688,10,1024,388,35,,lbfgs,5
147,opt_dist,5--torch(adam)--gamma1e-12,1.001e-12,,7.813576319381752,192.0033404827118,-1,2022-10-01 01:41:01.141940,10,1024,388,35,,adam,5
148,opt_dist,5--torch(asgd)--gamma2e+00,2.000000000000001,2.6031213376302316,5.999999999999998,105.61455631256104,-1,2022-10-01 01:41:01.945776,10,1024,388,35,,asgd,5
149,cccp_opt_joint,6--cccp--gamma1e-12,1.001e-12,0.4910805794095781,8.613863202617845,94.28675436973572,-1,2022-10-01 01:41:03.312613,10,1024,426,39,,,6
150,cccp_opt_joint,6--cccp--gamma1e+00,1.000000000000001,1.126094262295422,5.782379972966969,25.366323232650757,-1,2022-10-01 01:41:06.676281,10,1024,426,39,,,6
151,opt_dist,5--torch(lbfgs)--gamma1e-02,0.010000000000001,,7.412930860383614,160.13949251174927,-1,2022-10-01 01:41:10.355103,10,1024,388,35,,lbfgs,5
152,opt_dist,6--torch(adam)--gamma1e-12,1.001e-12,,8.828186652730306,95.61907982826233,-1,2022-10-01 01:41:10.714047,10,1024,426,39,,adam,6
